item_id,item_name,food_category,item_supplier,house_affiliation
1,Maggoty Haggis,Food,Heaney-Gutkowski,Ravenclaw
2,Hagrid's Rock Cakes,Dessert,"Swift, Padberg and Farrell",Slytherin
3,Acid Pops,Dessert,"Gutmann, Spencer and Kassulke",Ravenclaw
4,Cockroach Clusters,Food,Wintheiser Group,Ravenclaw
5,Hagrid's Stoat Sandwiches,Dessert,"Schimmel, Klein and Koelpin",Gryffindor
6,Bertie Bott's Every Flavor Beans,Food,Rosenbaum Group,Gryffindor
7,Mrs. Dursley's Pudding,Food,Haag-Gorczany,Gryffindor
8,Mrs. Weasley's Corned Beef Sandwiches,Dessert,"Hills, Heidenreich and Paucek",Slytherin
9,Chocolate Frogs,Dessert,VonRueden-Howell,Ravenclaw
10,Knickerbocker Glory,Food,Russel-Zulauf,Slytherin
11,Pumpkin Pasties,Dessert,Cronin and Sons,Slytherin
12,Bouillabaisse,Dessert,Mitchell Inc,Gryffindor
13,Cauldron Cakes,Food,Fritsch-Kertzmann,Hufflepuff
14,Hogwarts Steak And Kidney Pie,Dessert,"Tillman, Koch and Torphy",Gryffindor
15,Lupin's Chocolate,Dessert,Boehm-Reilly,Slytherin
16,Fred And George's Skiving Snackboxes,Dessert,"Reinger, Waelchi and Breitenberg",Gryffindor
17,Sherbet Lemon,Dessert,Kreiger Inc,Ravenclaw
18,Treacle Tart,Dessert,"Howe, Gerhold and Ruecker",Hufflepuff
19,Harry's Birthday Cake From Hagrid,Food,"Stroman, Wolff and Bradtke",Gryffindor
20,Butterbeer,Dessert,Heidenreich Group,Gryffindor
